all_metrics_no_bins
all_metrics,,,,,,,,,,,,,,
,Z0_opt_bins_val,Z0_opt_bins_train,Z0_opt_bins_test,Z0unc_opt_bins_val,Z0unc_opt_bins_train,Z0unc_opt_bins_test,Z0_40bins_val,Z0_40bins_train,Z0_40bins_test,rel_ewww_highest_bin_val,rel_ewww_highest_bin_train,rel_ewww_highest_bin_test,learning_rate,weight_EWWW
dropout-02-5-fold-aggressive-lr-schedule-2-fine-scan-ewww-scan-etafix/210805_7_0.08_4468160728031915639,9.938786167755270,10.382894679243200,9.736512052613310,7.060653878741380,7.201164025137790,6.900160432542790,10.277181575589000,10.345496453932700,10.289351406803900,0.23700910205816000,0.2611063668599840,0.20782413891629600,7,0.08
dropout-02-5-fold-aggressive-lr-schedule-2-fine-scan-ewww-scan-etafix/210805_3_0.16_1031772145743005820,9.464066258872920,9.634605725350220,9.39500638798642,6.79996614449586,6.236061710916210,6.621285223073280,9.734379770429230,9.715800985852960,9.715300473310810,0.1959915416822080,0.18174193707840700,0.18942065492301200,3,0.16
dropout-02-5-fold-aggressive-lr-schedule-2-fine-scan-ewww-scan-etafix/210805_12_0.08_7053919496245135736,9.843650745930600,10.401177688576400,9.870083534088040,7.0261995621886300,7.137202564832050,7.023415251174990,10.14025399878570,10.279958697864500,10.061962201841700,0.22795486713964400,0.24978785455970600,0.2309823447011190,12,0.08
dropout-02-5-fold-aggressive-lr-schedule-2-fine-scan-ewww-scan-etafix/210805_12_0.06_8453884894794348244,7.625713118976600,8.726528862281480,7.521404402943860,5.551509920922180,4.739140496069030,5.43622555723465,8.06615023953897,7.910447105297750,8.007139244903140,0.20963475132200500,0.19704402905143900,0.21258080238768600,12,0.06
dropout-02-5-fold-aggressive-lr-schedule-2-fine-scan-ewww-scan-etafix/210805_10_0.06_378109512522421606,10.02630099305770,9.193504367619830,9.87054238522217,7.261916298767440,6.712180466459550,6.949651707192320,10.285248503241300,9.713609984162390,10.287508856990800,0.27368326613041500,0.2956093426239160,0.252212058671115,10,0.06
dropout-02-5-fold-aggressive-lr-schedule-2-fine-scan-ewww-scan-etafix/210805_7_0.05_247485983042643727,9.959415883670460,10.101477779041400,9.732914972266190,7.178556872697450,6.9140839706511000,6.802735038692750,10.317720651597200,10.13525537192620,10.156483572605100,0.26971183211476000,0.24896228367319900,0.23902898245781400,7,0.05
dropout-02-5-fold-aggressive-lr-schedule-2-fine-scan-ewww-scan-etafix/210805_5_0.05_5111095835353171038,9.784763417434380,10.46545672426480,9.76228867291128,6.902721629184710,6.640932178946040,6.858217953201260,10.231723442978700,9.866318506676060,10.226014808180400,0.2515019455807950,0.2504265710038180,0.2481263235496920,5,0.05
dropout-02-5-fold-aggressive-lr-schedule-2-fine-scan-ewww-scan-etafix/210805_10_0.12_8615640128339923375,9.273417005311820,9.84529301826974,8.856778357579860,6.005623412423340,5.581334189660160,5.841004395619720,9.598355863151190,16.4306777126936,9.350403355331710,0.2043519930649410,0.1967471733953950,0.1634735774140000,10,0.12
dropout-02-5-fold-aggressive-lr-schedule-2-fine-scan-ewww-scan-etafix/210805_8_0.08_8554555907353765524,9.714795438946510,11.480448194111400,9.486336154785710,6.552206576724240,5.806857026984030,6.3612062255410100,9.99174910835666,12.933364775423100,10.00837845471060,0.20737420021337300,0.20298871255191600,0.20108316776680200,8,0.08
dropout-02-5-fold-aggressive-lr-schedule-2-fine-scan-ewww-scan-etafix/210805_10_0.05_1786105581069081307,8.750501351090360,10.588476075171300,8.827853257488640,6.299087779245190,5.513897771747050,6.379643689833630,9.209890130097900,8.89038822023451,9.191480414866800,0.22103009159124200,0.2268413651217240,0.2424453223108800,10,0.05
